name,scores_overall,rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,year
Seoul National University,68.0,640,72.3,30,71.6,44,66.5,418,86.6,73,35.8,867,"26,182",12.4,12%,0,2020
Kyoto University,67.7,650,73.7,29,78.1,30,59.9,507,66.2,170,33.7,910,"22,566",9.0,9%,24 : 76,2020
The University of Queensland,67.4,660,49.3,106,58.7,80,86.8,161,80.9,102,92.5,68,"39,144",35.7,34%,55 : 45,2020
Delft University of Technology,66.7,670,55.3,82,72.3,42,63.2,459,99.4,23,92.8,63,"18,743",20.2,30%,29 : 71,2020
Leiden University,66.7,680,48.3,117,65.0,59,83.1,207,72.7,134,79.4,190,"28,741",18.7,16%,59 : 41,2020
Erasmus University Rotterdam,66.3,690,39.4,227,57.3,85,97.1,45,63.6,196,87.3,113,"23,167",20.4,23%,51 : 49,2020
Ohio State University (Main campus),66.1,700,57.5,67,56.1,91,87.3,154,53.3,296,59.5,393,"54,372",12.5,13%,50 : 50,2020
UNSW Sydney,65.9,710,50.2,104,58.2,82,82.9,211,57.9,251,93.7,56,"44,336",35.7,41%,47 : 53,2020
McMaster University,65.4,720,44.5,154,50.1,115,94.8,79,94.0,42,82.7,150,"24,412",28.1,17%,55 : 45,2020
University of Groningen,65.1,730,42.3,180,55.6,93,91.6,108,79.8,106,82.5,153,"27,228",23.8,21%,51 : 49,2020
Humboldt University of Berlin,65.0,740,61.8,55,66.8,54,67.9,394,40.2,650,67.8,293,"33,463",56.1,17%,0,2020
Monash University,64.7,750,47.3,131,56.6,87,83.8,197,67.2,164,89.9,90,"52,989",33.9,39%,57 : 43,2020
Utrecht University,64.7,760,44.1,158,61.2,73,88.4,139,65.3,181,65.5,313,"31,833",14.2,9%,59 : 41,2020
University of Warwick,64.6,770,46.9,134,52.7,105,88.8,135,42.8,523,93.8,53,"20,600",13.2,41%,49 : 51,2020
Penn State (Main campus),64.2,780,55.2,84,67.1,52,75.7,287,52.1,314,47.4,596,"46,204",15.3,16%,46 : 54,2020
University of Minnesota,64.1,790,55.2,83,59.3,77,82.7,213,78.2,112,40.2,768,"61,120",12.4,11%,52 : 48,2020
Charité - Universitätsmedizin Berlin,64.0,800,47.6,128,47.3,138,94.9,75,92.7,45,63.5,339,"7,076",17.6,19%,64 : 36,2020
Emory University,64.0,810,56.0,78,40.4,202,98.8,21,45.4,432,57.9,414,"12,735",4.0,20%,58 : 42,2020
University of Science and Technology of China,64.0,820,64.6,45,59.5,75,74.7,307,79.6,107,31.3,950,"16,245",7.7,4%,0,2020
Sorbonne University,64.0,830,62.3,53,50.6,113,79.9,240,38.4,773,69.2,278,"43,076",13.5,19%,58 : 42,2020
Michigan State University,63.9,840,56.6,76,57.4,84,80.0,238,37.8,825,63.3,341,"44,789",16.5,16%,51 : 49,2020
University of Montreal,63.4,850,48.2,119,49.7,120,86.4,164,70.0,152,84.1,136,"36,794",20.2,22%,0,2020
University of Freiburg,63.3,860,49.1,109,51.6,108,83.1,206,100.0,3,75.7,222,"21,475",42.8,23%,54 : 46,2020
University of Bristol,63.2,870,41.8,187,48.4,130,95.5,64,40.9,608,86.6,121,"21,785",13.6,27%,54 : 46,2020
Purdue University West Lafayette,63.1,880,57.5,68,66.4,56,63.0,462,64.3,191,72.0,255,"40,451",15.7,23%,43 : 57,2020
Sungkyunkwan University (SKKU),63.0,890,57.6,66,61.2,72,70.3,370,97.3,34,51.1,534,"23,342",19.5,15%,43 : 57,2020
University of Zurich,62.8,900,47.0,132,46.7,141,88.2,144,53.0,301,92.2,74,"22,609",12.3,21%,57 : 43,2020
"University of Maryland, College Park",62.7,910,46.9,133,59.1,79,89.6,130,39.2,714,41.2,743,"33,108",16.6,11%,48 : 52,2020
University of Tübingen,62.7,920,51.2,98,56.2,89,80.1,237,67.0,166,64.0,334,"27,901",37.5,14%,58 : 42,2020
École Polytechnique,62.5,930,59.6,60,49.1,121,70.2,371,69.6,156,95.2,35,"3,030",5.7,40%,22 : 78,2020
University of Basel,62.4,940,43.0,170,41.2,197,91.4,109,99.4,22,96.1,25,"11,518",15.8,27%,56 : 44,2020
Dartmouth College,62.4,950,58.4,63,39.9,211,96.4,53,41.0,602,39.6,778,"6,247",7.7,15%,49 : 51,2020
"University of California, Irvine",62.3,960,43.3,166,46.5,144,94.9,74,58.9,241,71.9,256,"32,706",16.5,26%,52 : 48,2020
University of Helsinki,62.3,970,43.4,164,59.3,76,88.1,145,38.1,791,55.1,455,"22,072",16.6,5%,66 : 34,2020
Lund University,62.3,980,40.7,208,54.3,99,86.3,167,81.0,99,77.7,208,"27,266",12.1,19%,54 : 46,2020
University of Glasgow,62.2,990,41.1,198,47.9,134,91.8,104,40.0,661,92.3,71,"25,355",15.4,37%,59 : 41,2020
RWTH Aachen University,62.2,1000,55.6,80,61.5,70,67.3,406,98.1,31,59.0,401,"45,377",61.1,21%,32 : 68,2020
University of Copenhagen,62.1,1010,48.1,120,44.1,163,89.6,129,48.1,369,85.4,127,"31,219",4.3,17%,57 : 43,2020
Georgetown University,61.9,1020,57.3,71,37.9,233,93.9,86,62.5,204,47.2,605,"16,279",8.5,18%,54 : 46,2020
Uppsala University,61.9,1030,41.6,191,56.4,88,85.0,185,74.6,128,68.1,292,"25,438",16.7,15%,57 : 43,2020
University of Arizona,61.8,1040,52.6,92,53.7,104,85.3,177,52.7,305,40.2,765,"39,124",18.4,10%,52 : 48,2020
University of Bonn,61.6,1050,47.6,127,47.0,139,88.0,147,93.3,44,60.3,381,"36,352",67.7,13%,55 : 45,2020
Rice University,61.6,1060,49.1,110,39.7,212,93.7,87,45.4,433,77.0,213,"6,667",8.9,28%,42 : 58,2020
University of Virginia (Main campus),61.5,1070,54.4,87,43.5,171,91.3,113,41.6,573,48.9,572,"23,116",8.6,12%,52 : 48,2020
Zhejiang University,61.5,1080,66.0,41,64.7,60,50.6,619,100.0,12,61.8,362,"33,427",10.7,22%,23 : 77,2020
Fudan University,61.4,1090,61.9,54,58.6,81,68.1,393,58.6,245,44.8,656,"32,537",11.2,12%,53 : 47,2020
Korea Advanced Institute of Science and Technology (KAIST),61.3,1100,62.6,51,66.4,55,58.1,526,99.9,14,35.5,872,"9,481",10.2,8%,20 : 80,2020
Queen Mary University of London,61.3,1110,35.3,309,43.1,174,98.0,34,44.1,473,96.7,19,"17,800",14.1,43%,54 : 46,2020
University of Birmingham,60.9,1120,39.6,224,45.6,151,92.1,100,39.3,706,89.2,95,"29,540",15.5,29%,57 : 43,2020
University of Bern,60.4,1130,44.5,153,41.2,198,86.6,162,85.0,79,87.3,112,"11,090",16.5,16%,56 : 44,2020
University of Pittsburgh-Pittsburgh campus,60.4,1140,47.4,130,45.5,154,95.1,71,40.7,619,39.3,785,"26,652",5.8,11%,51 : 49,2020
Aarhus University,60.3,1150,37.2,267,54.0,100,85.4,176,66.7,168,74.8,236,"26,842",14.4,9%,55 : 45,2020
Vanderbilt University,60.2,1160,48.7,112,42.1,188,95.4,65,47.5,388,43.0,701,"12,006",3.0,14%,54 : 46,2020
Free University of Berlin,60.1,1170,57.2,72,63.3,64,58.4,520,42.4,535,71.6,262,"35,894",58.2,21%,59 : 41,2020
University of Sheffield,60.1,1180,45.2,143,46.4,145,83.0,210,45.8,424,87.3,116,"26,220",15.0,34%,50 : 50,2020
Case Western Reserve University,60.0,1190,48.4,115,39.9,210,95.3,68,42.1,546,52.2,512,"10,654",8.8,23%,50 : 50,2020
University of Adelaide,59.9,1200,34.3,330,41.6,193,95.3,66,64.8,183,91.7,78,"21,093",29.9,29%,49 : 51,2020
National Taiwan University (NTU),59.9,1210,57.0,74,62.7,69,64.0,452,65.4,179,41.9,724,"27,254",11.1,11%,40 : 60,2020
University of Southampton,59.8,1220,40.2,216,44.3,159,88.0,148,40.1,658,94.2,46,"23,865",13.7,34%,53 : 47,2020
Ghent University,59.7,1230,43.3,167,55.5,94,78.4,250,80.9,101,59.5,392,"38,080",37.0,10%,54 : 46,2020
University of Colorado Boulder,59.6,1240,44.8,149,45.6,152,93.1,93,41.7,563,47.3,602,"33,186",16.3,11%,44 : 56,2020
University of Göttingen,59.5,1250,49.6,105,48.6,127,82.0,220,37.0,901,60.9,375,"30,773",29.1,13%,51 : 49,2020
City University of Hong Kong,59.3,1260,41.0,200,48.9,123,77.6,260,62.4,206,99.6,2,"9,587",11.0,45%,59 : 41,2020
Maastricht University,59.0,1270,40.2,215,48.3,131,77.0,268,82.9,94,97.6,16,"16,857",18.6,54%,60 : 40,2020
Radboud University Nijmegen,58.9,1280,36.0,291,49.9,117,88.2,143,46.2,419,73.0,247,"20,024",17.5,14%,55 : 45,2020
University of York,58.9,1290,40.3,214,46.6,143,85.1,183,36.4,975,85.4,129,"16,060",14.9,24%,56 : 44,2020
Université Paris Cité,58.8,1300,52.0,93,36.1,255,88.3,142,35.6,1074,66.6,302,"61,390",15.5,17%,64 : 36,2020
University of Oslo,58.7,1310,39.6,225,43.8,167,90.0,124,40.7,618,75.5,227,"20,783",12.6,17%,62 : 38,2020
The University of Western Australia,58.7,1320,32.5,376,43.9,166,91.0,117,57.0,260,94.3,42,"18,400",23.2,29%,49 : 51,2020
Durham University,58.5,1330,45.5,139,47.8,135,75.5,289,37.9,814,91.7,79,"16,965",14.8,30%,55 : 45,2020
Indiana University,58.4,1340,50.8,101,49.7,119,76.7,275,49.8,350,53.5,488,"66,872",13.6,15%,52 : 48,2020
University of Vienna,58.4,1350,48.1,121,55.3,96,64.6,443,37.1,897,94.2,47,"33,547",40.2,27%,66 : 34,2020
University of Alberta,58.2,1360,47.9,123,48.8,124,70.3,368,60.5,223,87.5,108,"31,919",21.0,26%,55 : 45,2020
University of Cape Town,58.2,1370,33.2,357,42.8,177,90.3,121,85.3,78,81.8,161,"21,812",11.9,17%,53 : 47,2020
Vrije Universiteit Amsterdam,58.1,1380,35.7,300,48.1,132,88.4,140,52.5,309,68.8,283,"23,025",16.5,10%,58 : 42,2020
Lancaster University,58.0,1390,34.7,321,39.4,216,92.5,98,36.0,1010,94.2,44,"12,655",12.5,38%,51 : 49,2020
Tufts University,58.0,1400,49.1,111,34.2,284,94.4,82,38.6,757,49.6,560,"11,017",9.8,16%,55 : 45,2020
University of Ottawa,57.9,1410,41.3,195,42.0,190,86.2,168,46.5,413,77.7,209,"35,365",24.7,19%,59 : 41,2020
Ulm University,57.9,1420,40.6,210,36.6,247,94.9,77,75.7,123,57.5,422,"10,629",27.7,13%,48 : 52,2020
Pompeu Fabra University,57.8,1430,37.7,258,40.1,207,94.4,81,44.5,464,66.5,304,"11,636",21.6,13%,60 : 40,2020
University of Geneva,57.6,1440,38.1,247,43.7,168,80.4,230,63.3,198,98.4,10,"16,935",15.6,39%,61 : 39,2020
Nanjing University,57.6,1450,50.7,102,48.0,133,71.8,354,84.9,83,57.8,416,"34,569",15.5,10%,44 : 56,2020
University of Exeter,57.4,1460,33.9,337,38.9,223,92.4,99,37.8,822,91.9,75,"21,450",17.6,28%,54 : 46,2020
Pohang University of Science and Technology (POSTECH),57.4,1470,51.7,94,50.9,111,72.2,348,99.6,20,32.9,921,"3,215",10.3,3%,23 : 77,2020
University of Sussex,57.4,1480,35.3,310,37.9,235,91.8,105,35.9,1028,93.6,57,"14,980",16.1,39%,54 : 46,2020
University of Hamburg,57.3,1490,44.4,156,49.8,118,74.0,318,98.5,27,58.1,413,"30,375",59.3,12%,56 : 44,2020
Sant’Anna School of Advanced Studies – Pisa,57.3,1500,45.0,146,42.3,184,82.5,215,84.7,84,56.0,439,776,12.4,19%,35 : 65,2020
Technical University of Berlin,57.3,1510,50.4,103,53.9,102,62.3,476,92.7,46,66.2,307,"22,622",60.6,24%,34 : 66,2020
Université Catholique de Louvain,57.2,1520,38.8,237,51.5,109,75.7,286,53.7,294,80.5,176,"26,235",39.3,20%,53 : 47,2020
University of Nottingham,57.2,1530,42.7,175,42.6,181,80.3,233,39.4,700,87.5,110,"29,700",14.6,29%,54 : 46,2020
Scuola Normale Superiore di Pisa,57.2,1540,57.2,73,38.1,231,79.2,246,35.9,1026,52.8,500,558,6.8,11%,29 : 71,2020
Arizona State University (Tempe),57.1,1550,39.3,229,50.7,112,81.6,222,38.5,760,61.8,360,"46,683",21.1,21%,43 : 57,2020
University of Leeds,57.1,1560,41.1,199,45.9,149,78.0,256,39.9,669,87.5,109,"30,235",14.2,29%,61 : 39,2020
Autonomous University of Barcelona,56.9,1570,40.9,206,36.1,252,92.9,95,44.8,450,64.3,326,"31,877",12.6,16%,59 : 41,2020
University of Cologne,56.9,1580,43.6,162,42.9,175,81.5,224,70.6,150,62.9,347,"36,965",36.5,16%,63 : 37,2020
University of Mannheim,56.9,1590,41.9,184,50.0,116,78.2,252,58.6,246,58.5,407,"10,730",79.9,18%,56 : 44,2020
University of Notre Dame,56.9,1600,52.9,90,46.2,148,73.5,327,38.1,796,55.3,454,"12,104",13.7,12%,45 : 55,2020
Shanghai Jiao Tong University,56.9,1610,58.0,64,63.0,67,47.9,665,99.9,16,49.8,555,"38,853",11.1,13%,44 : 56,2020
TU Dresden,56.9,1620,46.5,136,48.5,129,73.0,340,94.1,41,55.8,443,"32,309",34.2,14%,42 : 58,2020
University of Würzburg,56.8,1630,38.7,241,42.4,183,87.5,151,65.6,176,61.5,370,"24,082",36.6,10%,56 : 44,2020
Trinity College Dublin,56.4,1640,41.7,189,43.9,165,75.4,296,41.2,598,94.4,41,"16,853",21.9,30%,59 : 41,2020
University of Liverpool,56.3,1650,35.2,312,37.5,239,88.8,133,38.8,742,92.2,73,"23,055",13.8,33%,55 : 45,2020
Bielefeld University,56.1,1660,36.1,287,42.7,178,91.1,115,59.4,235,48.6,580,"24,875",77.5,8%,57 : 43,2020
University of Leicester,56.1,1670,30.1,448,34.8,271,96.2,57,38.1,792,90.7,86,"14,645",14.3,32%,53 : 47,2020
University of Aberdeen,56.0,1680,30.4,432,33.3,296,95.2,70,45.8,423,95.7,28,"12,400",15.7,39%,57 : 43,2020
University of Bologna,56.0,1690,51.5,95,34.8,270,83.8,196,45.1,445,50.7,539,"65,819",24.0,12%,56 : 44,2020
Rutgers University – New Brunswick,56.0,1700,47.8,126,48.5,128,73.9,320,41.1,600,51.5,526,"44,801",11.2,17%,52 : 48,2020
Hong Kong Polytechnic University,55.9,1710,41.0,201,46.6,142,71.8,352,42.3,540,94.1,48,"20,388",23.1,25%,52 : 48,2020
University of Alabama at Birmingham,55.7,1720,39.2,231,33.6,292,97.3,41,74.8,126,37.4,833,"16,927",16.7,6%,62 : 38,2020
"Northeastern University, US",55.6,1730,38.0,249,27.9,409,97.5,40,38.0,809,75.0,232,"19,575",13.9,35%,49 : 51,2020
University of Rochester,55.6,1740,43.4,165,30.3,347,91.4,111,40.9,611,67.2,299,"9,824",4.2,31%,49 : 51,2020
University of Florida,55.4,1750,54.0,88,53.8,103,61.9,483,57.9,250,40.0,771,"46,642",16.8,10%,55 : 45,2020
Karlsruhe Institute of Technology,55.4,1760,45.4,140,47.8,136,66.5,416,91.3,52,69.1,279,"27,255",25.6,22%,28 : 72,2020
Stockholm University,55.4,1770,30.0,457,46.4,146,85.0,184,36.6,949,81.3,167,"27,185",19.5,14%,0,2020
Texas A&M University,55.3,1780,49.3,107,54.8,97,62.8,466,45.3,439,54.3,471,"60,818",24.8,8%,47 : 53,2020
University of Auckland,55.2,1790,31.4,401,43.9,164,80.2,235,62.4,205,94.0,49,"32,821",22.1,32%,56 : 44,2020
"University of California, Santa Cruz",55.2,1800,33.1,359,34.9,269,97.7,38,39.1,716,60.6,377,"18,783",23.0,10%,50 : 50,2020
Korea University,55.2,1810,48.4,116,50.2,114,64.5,444,93.9,43,52.0,518,"22,965",16.0,22%,0,2020
Queensland University of Technology,55.2,1820,31.9,391,40.3,203,86.4,165,62.4,207,81.4,166,"34,871",38.2,16%,54 : 46,2020
University of Erlangen-Nuremberg,54.9,1830,41.1,197,45.8,150,75.2,301,89.6,60,52.9,495,"38,111",57.0,12%,48 : 52,2020
Aalto University,54.8,1840,41.8,186,39.4,215,76.7,274,48.3,366,82.3,155,"12,195",18.6,26%,34 : 66,2020
Technical University of Denmark,54.8,1850,39.4,228,40.2,204,73.8,323,71.6,143,92.8,66,"9,265",6.6,25%,30 : 70,2020
Eindhoven University of Technology,54.7,1860,44.6,152,48.8,125,61.0,492,99.8,17,78.3,200,"8,917",20.7,19%,0,2020
University of Gothenburg,54.7,1870,27.5,535,41.5,194,93.5,89,40.1,657,65.7,310,"19,677",10.2,13%,0,2020
Télécom Paris,54.6,1880,42.6,176,38.3,227,74.4,314,76.6,119,81.7,164,923,5.6,39%,21 : 79,2020
Lomonosov Moscow State University,54.3,1890,78.2,23,63.0,66,15.6,1201,90.7,54,66.6,301,"29,235",7.3,29%,48 : 52,2020
University of Münster,54.3,1900,41.0,203,42.5,182,81.3,228,47.5,384,48.7,576,"43,835",43.4,8%,0,2020
Tel Aviv University,54.3,1910,41.3,196,51.3,110,71.2,358,41.8,562,54.7,463,"22,414",22.3,7%,55 : 45,2020
University of East Anglia,54.2,1920,28.3,504,30.1,349,97.2,44,35.7,1051,87.7,106,"15,195",13.9,28%,60 : 40,2020
University of Canberra,54.1,1930,25.2,619,31.1,330,99.2,17,38.6,752,86.9,119,"10,823",36.2,32%,0,2020
University of Duisburg-Essen,54.0,1940,34.4,324,32.8,303,91.8,103,71.6,142,60.0,387,"42,698",53.0,19%,48 : 52,2020
University of Technology Sydney,54.0,1950,33.5,351,42.9,176,75.3,298,50.3,342,96.1,26,"26,385",43.4,34%,51 : 49,2020
University of the Witwatersrand,54.0,1960,31.2,408,43.2,173,78.8,248,100.0,11,73.7,242,"28,521",26.3,8%,56 : 44,2020
Yonsei University (Seoul campus),53.9,1970,51.2,99,52.6,106,53.0,595,98.9,26,58.4,411,"17,744",14.6,22%,47 : 53,2020
University of Antwerp,53.8,1980,35.6,301,44.5,158,75.8,282,72.2,138,69.6,274,"15,166",29.3,17%,55 : 45,2020
Cardiff University,53.8,1990,32.5,374,35.5,260,87.1,157,37.8,821,85.1,131,"25,500",13.5,27%,59 : 41,2020
George Washington University,53.8,2000,48.6,113,32.4,312,81.5,225,35.0,1179,55.5,449,"23,488",13.1,18%,60 : 40,2020
University of Lausanne,53.8,2010,33.1,361,44.2,161,73.3,335,67.8,162,92.7,67,"12,197",9.6,24%,0,2020
University of St Andrews,53.8,2020,42.2,182,41.8,192,67.8,399,37.6,842,96.6,20,"9,215",12.7,46%,58 : 42,2020
Aalborg University,50.1–53.7,2030,28.5,494,39.1,221,87.1,156,48.0,372,75.1,231,"16,340",13.6,15%,0,2020
University of Barcelona,50.1–53.7,2040,37.3,265,32.5,308,87.6,149,41.2,594,54.7,461,"46,214",11.8,10%,62 : 38,2020
University of Bergen,50.1–53.7,2050,29.5,471,29.4,370,94.1,83,37.1,887,78.3,199,"14,007",12.5,14%,60 : 40,2020
Brandeis University,50.1–53.7,2060,28.5,495,22.9,528,100.0,2,35.6,1064,53.4,489,"5,375",12.2,27%,57 : 43,2020
